;new cases [1/d];new cases smoothed [1/d];flow [m^3/d];mean_7d_n1 [gc/d];mean_7d_n2 [gc/d]
2020-01-01;;;;;
2020-01-02;;;;;
2020-01-03;;;;;
2020-01-04;;;;;
2020-01-05;;;;;
2020-01-06;;;;;
2020-01-07;;;;;
2020-01-08;;;;;
2020-01-09;;;;;
2020-01-10;;;;;
2020-01-11;;;;;
2020-01-12;;;;;
2020-01-13;;;;;
2020-01-14;;;;;
2020-01-15;;;;;
2020-01-16;;;;;
2020-01-17;;;;;
2020-01-18;;;;;
2020-01-19;;;;;
2020-01-20;;;;;
2020-01-21;;;;;
2020-01-22;;;;;
2020-01-23;;;;;
2020-01-24;;;;;
2020-01-25;;;;;
2020-01-26;;;;;
2020-01-27;;;;;
2020-01-28;;;;;
2020-01-29;;;;;
2020-01-30;;;;;
2020-01-31;;;;;
2020-02-01;;;;;
2020-02-02;;;;;
2020-02-03;;;;;
2020-02-04;;;;;
2020-02-05;;;;;
2020-02-06;;;;;
2020-02-07;;;;;
2020-02-08;;;;;
2020-02-09;;;;;
2020-02-10;;;;;
2020-02-11;;;;;
2020-02-12;;;;;
2020-02-13;;;;;
2020-02-14;;;;;
2020-02-15;;;;;
2020-02-16;;;;;
2020-02-17;;;;;
2020-02-18;;;;;
2020-02-19;;;;;
2020-02-20;;;;;
2020-02-21;;;;;
2020-02-22;;;;;
2020-02-23;;;;;
2020-02-24;;;;;
2020-02-25;;;;;
2020-02-26;1.0;;;;
2020-02-27;2.0;;;;
2020-02-28;1.0;;276146.0;;
2020-02-29;3.0;;246593.0;;
2020-03-01;2.0;;385231.0;;
2020-03-02;3.0;;317209.0;;
2020-03-03;2.0;2.0;316083.0;;
2020-03-04;3.0;2.2857142857142856;238523.0;;
2020-03-05;1.0;2.142857142857143;318402.0;;
2020-03-06;1.0;2.142857142857143;311483.0;;
2020-03-07;3.0;2.142857142857143;255720.0;;
2020-03-08;5.0;2.5714285714285716;214152.0;;
2020-03-09;4.0;2.7142857142857144;276340.0;;
2020-03-10;13.0;4.285714285714286;297564.0;;
2020-03-11;12.0;5.571428571428571;277272.0;;
2020-03-12;12.0;7.142857142857143;220279.0;;
