city,date,variant,rna,rna_norm,flow,proportion,new_cases
Altenrhein (SG),2021-03-10,B.1.1.7 (Alpha),897817021132.2129,58.8031563578431,17267.19984436035,0.9152599684685776,4.399488734375
Altenrhein (SG),2021-03-11,B.1.1.7 (Alpha),368625975162.32214,24.14341713826825,37250.90147399902,0.938764224928712,7.0594663281250005
Altenrhein (SG),2021-03-12,B.1.1.7 (Alpha),877940467963.9403,57.501327548299074,30741.5919342041,0.9544209607642832,9.42742809375
Altenrhein (SG),2021-03-13,B.1.1.7 (Alpha),1459965953549.329,95.62149549740637,31450.49510192871,0.9640738929665996,0
Altenrhein (SG),2021-03-14,B.1.1.7 (Alpha),926550900707.398,60.6851019811242,26870.69529724121,0.9694996507653104,0
Altenrhein (SG),2021-03-15,B.1.1.7 (Alpha),1033547307774.76,67.69290680818706,36451.59400939941,0.971941452390054,23.704858906250003
Altenrhein (SG),2021-03-16,B.1.1.7 (Alpha),1216605616927.0325,79.68243933242987,26323.79383850098,0.9725051468033016,16.089556984375
Altenrhein (SG),2021-03-17,B.1.1.7 (Alpha),2173966325142.1165,142.38545129474912,33528.2933807373,0.972265382352962,11.867196
Altenrhein (SG),2021-03-18,B.1.1.7 (Alpha),2362363028062.7656,154.7246256681359,25950.19270324707,0.97201917731037,4.321011421875
Altenrhein (SG),2021-03-19,B.1.1.7 (Alpha),1497572063703.1987,98.08453409362232,21642.59144592285,0.9719127634475392,11.39953415625
Altenrhein (SG),2021-03-20,B.1.1.7 (Alpha),2410037278301.3555,157.84708417030092,20212.3911895752,0.9713177126354766,4.4281447499999995
Altenrhein (SG),2021-03-21,B.1.1.7 (Alpha),1997604425659.9053,130.8345048248988,17913.7911529541,0.9692971470628856,0
Altenrhein (SG),2021-03-22,B.1.1.7 (Alpha),1806299039127.5486,118.3048241755238,18485.593856811523,0.9653304989496913,21.75552640625
Altenrhein (SG),2021-03-23,B.1.1.7 (Alpha),1614993652595.192,105.77514352614882,19057.39656066895,0.9598151586333792,24.507212015625
Altenrhein (SG),2021-03-24,B.1.1.7 (Alpha),3226012736156.2705,211.28996986197163,19391.19947814941,0.954374110577966,25.319844765625
Altenrhein (SG),2021-03-25,B.1.1.7 (Alpha),2799466338571.9604,183.35301397825012,19028.49949645996,0.9514718685990738,16.570673
Altenrhein (SG),2021-03-26,B.1.1.7 (Alpha),3135299207363.472,205.34862358336383,18909.29490661621,0.9531839343743912,20.151914515625
Altenrhein (SG),2021-03-27,B.1.1.7 (Alpha),3217108102791.5176,210.70675464580597,20393.39729309082,0.959780655438322,6.980192124999999
Altenrhein (SG),2021-03-28,B.1.1.7 (Alpha),4365965683734.587,285.95198878036837,16365.69535827637,0.9691214848911132,4.614276484375001
Altenrhein (SG),2021-03-29,B.1.1.7 (Alpha),2742639976628.559,179.63113149222724,17436.7935333252,0.9776218488913702,38.98548696875
Altenrhein (SG),2021-03-30,B.1.1.7 (Alpha),2058523401975.0322,134.82443596354074,17084.19233703613,0.9830026063283828,13.848180046875
Altenrhein (SG),2021-03-31,B.1.1.7 (Alpha),1936595940625.1543,126.83871124980094,17330.89225769043,0.9854696072070483,18.94664975
Altenrhein (SG),2021-04-01,B.1.1.7 (Alpha),1772939474980.347,116.1199160924674,16778.29277038574,0.9865072256934724,17.0894535
Altenrhein (SG),2021-04-02,B.1.1.7 (Alpha),3639438740212.0566,238.36759635677012,16397.3931427002,0.9876174351701548,2.8131548125
Altenrhein (SG),2021-04-03,B.1.1.7 (Alpha),2961794973143.456,193.98484190686898,15349.39326477051,0.9895785783873334,6.623525
Altenrhein (SG),2021-04-04,B.1.1.7 (Alpha),1524082692342.6033,99.82086633542112,14940.59339904785,0.9922454967117568,4.5114930781250004
Altenrhein (SG),2021-04-05,B.1.1.7 (Alpha),3049932975741.6914,199.75750228850902,21030.09385681152,0.9949540538471988,6.1603931406250005
Altenrhein (SG),2021-04-06,B.1.1.7 (Alpha),1582447210319.1626,103.64349143112017,24486.89256286621,0.9971043953893688,45.6448905625
Altenrhein (SG),2021-04-07,B.1.1.7 (Alpha),1402313184116.7087,91.84548687247096,24408.39198303223,0.998459609871945,14.577514828125
Altenrhein (SG),2021-04-08,B.1.1.7 (Alpha),792215261322.2899,51.88669493240099,21404.4925994873,0.999097050397211,27.76963353125
Altenrhein (SG),2021-04-09,B.1.1.7 (Alpha),1131697112562.5867,74.12129720576723,19632.19221496582,0.9992332856856948,28.859888265625
Altenrhein (SG),2021-04-10,B.1.1.7 (Alpha),4706458534698.24,308.2528071906656,17598.39228820801,0.99908936141677,8.857348374999999
Altenrhein (SG),2021-04-11,B.1.1.7 (Alpha),2437605901768.9404,159.65271052642694,15613.39289855957,0.9988382884091692,0
Altenrhein (SG),2021-04-12,B.1.1.7 (Alpha),1492210212466.6846,97.73335588112793,41536.18794250488,0.9985758599247154,37.10688128125
Altenrhein (SG),2021-04-13,B.1.1.7 (Alpha),1650031747983.435,108.06998819171066,41561.78987121582,0.9983412939435332,18.377930859375
Altenrhein (SG),2021-04-14,B.1.1.7 (Alpha),1425878465027.6667,93.38891149620562,19768.69273376465,0.9981694187987497,12.80282471875
Altenrhein (SG),2021-04-15,B.1.1.7 (Alpha),2239756014831.7207,146.6943932266732,18785.39332580566,0.98558226852759,6.150837374999999
Altenrhein (SG),2021-04-16,B.1.1.7 (Alpha),2035108247517.1895,133.2908439772903,17280.99999809265,0.984049397428594,11.713280453125
Altenrhein (SG),2021-04-17,B.1.1.7 (Alpha),2219441697558.629,145.36389274963165,19050.49308776855,0.9830454471053516,9.095587671874998
Altenrhein (SG),2021-04-18,B.1.1.7 (Alpha),1627229720341.4294,106.57655337687743,15024.29399108887,0.9828390574973735,9.3589865
Altenrhein (SG),2021-04-19,B.1.1.7 (Alpha),1730381530313.3064,113.3325536170172,16618.29454040527,0.9834860747067766,43.656780328125
Altenrhein (SG),2021-04-20,B.1.1.7 (Alpha),2273639038311.1895,148.91358564633472,15562.69523620605,0.9845689481862197,25.573670515625
