city,date,rna,flow,variant,proportion,first_day,last_day,rna_norm
Altenrhein (SG),2021-03-10,897817021132.2129,17267.19984436035,B.1.1.7 (Alpha),0.9152599684685776,2021-03-10,2021-07-04,58.8031563578431
Altenrhein (SG),2021-03-11,368625975162.32214,37250.90147399902,B.1.1.7 (Alpha),0.938764224928712,2021-03-10,2021-07-04,24.14341713826825
Altenrhein (SG),2021-03-12,877940467963.9403,30741.5919342041,B.1.1.7 (Alpha),0.9544209607642832,2021-03-10,2021-07-04,57.501327548299074
Altenrhein (SG),2021-03-13,1459965953549.329,31450.49510192871,B.1.1.7 (Alpha),0.9640738929665996,2021-03-10,2021-07-04,95.62149549740637
Altenrhein (SG),2021-03-14,926550900707.398,26870.69529724121,B.1.1.7 (Alpha),0.9694996507653104,2021-03-10,2021-07-04,60.6851019811242
Altenrhein (SG),2021-03-15,1033547307774.76,36451.59400939941,B.1.1.7 (Alpha),0.971941452390054,2021-03-10,2021-07-04,67.69290680818706
Altenrhein (SG),2021-03-16,1216605616927.0325,26323.79383850098,B.1.1.7 (Alpha),0.9725051468033016,2021-03-10,2021-07-04,79.68243933242987
Altenrhein (SG),2021-03-17,2173966325142.1165,33528.2933807373,B.1.1.7 (Alpha),0.972265382352962,2021-03-10,2021-07-04,142.38545129474912
Altenrhein (SG),2021-03-18,2362363028062.7656,25950.19270324707,B.1.1.7 (Alpha),0.97201917731037,2021-03-10,2021-07-04,154.7246256681359
Altenrhein (SG),2021-03-19,1497572063703.1987,21642.59144592285,B.1.1.7 (Alpha),0.9719127634475392,2021-03-10,2021-07-04,98.08453409362232
Altenrhein (SG),2021-03-20,2410037278301.3555,20212.3911895752,B.1.1.7 (Alpha),0.9713177126354766,2021-03-10,2021-07-04,157.84708417030092
Altenrhein (SG),2021-03-21,1997604425659.9053,17913.7911529541,B.1.1.7 (Alpha),0.9692971470628856,2021-03-10,2021-07-04,130.8345048248988
Altenrhein (SG),2021-03-22,1806299039127.5486,18485.593856811523,B.1.1.7 (Alpha),0.9653304989496913,2021-03-10,2021-07-04,118.3048241755238
Altenrhein (SG),2021-03-23,1614993652595.192,19057.39656066895,B.1.1.7 (Alpha),0.9598151586333792,2021-03-10,2021-07-04,105.77514352614882
Altenrhein (SG),2021-03-24,3226012736156.2705,19391.19947814941,B.1.1.7 (Alpha),0.954374110577966,2021-03-10,2021-07-04,211.28996986197163
Altenrhein (SG),2021-03-25,2799466338571.9604,19028.49949645996,B.1.1.7 (Alpha),0.9514718685990738,2021-03-10,2021-07-04,183.35301397825012
Altenrhein (SG),2021-03-26,3135299207363.472,18909.29490661621,B.1.1.7 (Alpha),0.9531839343743912,2021-03-10,2021-07-04,205.34862358336383
Altenrhein (SG),2021-03-27,3217108102791.5176,20393.39729309082,B.1.1.7 (Alpha),0.959780655438322,2021-03-10,2021-07-04,210.70675464580597
Altenrhein (SG),2021-03-28,4365965683734.587,16365.69535827637,B.1.1.7 (Alpha),0.9691214848911132,2021-03-10,2021-07-04,285.95198878036837
Altenrhein (SG),2021-03-29,2742639976628.559,17436.7935333252,B.1.1.7 (Alpha),0.9776218488913702,2021-03-10,2021-07-04,179.63113149222724
Altenrhein (SG),2021-03-30,2058523401975.0322,17084.19233703613,B.1.1.7 (Alpha),0.9830026063283828,2021-03-10,2021-07-04,134.82443596354074
