city,date,rna,flow,rna_v,variant,proportion,include
Altenrhein (SG),2020-10-31,15232517055037.729,22900,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-01,12490000567557,24960,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-02,9747484080076.27,27020,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-03,7004967592595.54,29080,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-04,9556653726445.418,25090,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-05,12108339860295.295,21100,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-06,11174592820057.578,20076.666666666668,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-07,10240845779819.86,19053.333333333332,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-08,9307098739582.143,18030,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-09,7773100851173.313,18035,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-10,6239102962764.484,18040,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-11,8608116931384.774,17540,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-12,10977130900005.064,17040,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-13,11099962500162.033,16653.333333333332,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-14,11222794100319.004,16266.666666666666,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-15,11345625700475.973,15880,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-16,12428049008546.37,15285,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-17,13510472316616.766,14690,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-18,10916327758166.59,22010,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-19,8322183199716.413,29330,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-20,8229356262961.289,29838.722942249195,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-21,8136529326206.165,30347.44588449839,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-22,8043702389451.041,30856.168826747584,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-23,7950875452695.916,31364.89176899678,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-24,7858048515940.792,31873.614711245977,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-25,7765221579185.668,32382.33765349517,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-26,7672394642430.544,32891.06059574436,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-27,7579567705675.42,33399.78353799356,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-28,7486740768920.296,33908.50648024275,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-29,7393913832165.172,34417.22942249195,v1,NA,NA,FALSE
Altenrhein (SG),2020-11-30,7301086895410.047,34925.95236474115,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-01,7208259958654.923,35434.67530699034,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-02,7115433021899.799,35943.39824923954,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-03,7022606085144.675,36452.12119148873,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-04,6929779148389.551,36960.844133737926,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-05,6836952211634.426,37469.56707598712,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-06,6744125274879.303,37978.290018236316,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-07,6651298338124.178,38487.01296048551,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-08,6558471401369.054,38995.735902734705,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-09,6465644464613.93,39504.4588449839,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-10,6372817527858.806,40013.181787233094,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-11,6279990591103.682,40521.90472948229,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-12,6187163654348.558,41030.62767173148,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-13,6094336717593.434,41539.350613980685,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-14,6001509780838.309,42048.07355622987,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-15,5908682844083.185,42556.796498479074,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-16,5815855907328.061,43065.51944072827,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-17,5723028970572.936,43574.24238297746,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-18,5630202033817.8125,44082.96532522666,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-19,5537375097062.6875,44591.68826747585,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-20,5444548160307.564,45100.41120972505,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-21,5351721223552.439,45609.13415197424,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-22,5258894286797.315,46117.85709422344,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-23,5166067350042.191,46626.58003647263,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-24,5073240413287.067,47135.302978721826,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-25,4980413476531.943,47644.02592097102,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-26,4887586539776.818,48152.748863220215,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-27,4794759603021.695,48661.47180546941,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-28,4701932666266.57,49170.194747718604,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-29,4609105729511.446,49678.9176899678,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-30,4516278792756.322,50187.64063221699,v1,NA,NA,FALSE
Altenrhein (SG),2020-12-31,4423451856001.198,50696.36357446619,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-01,4330624919246.074,51205.08651671538,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-02,4237797982490.949,51713.80945896458,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-03,4144971045735.8257,52222.53240121377,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-04,4052144108980.7017,52731.255343462966,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-05,3959317172225.5776,53239.97828571216,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-06,3866490235470.453,53748.70122796136,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-07,3773663298715.329,54257.42417021055,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-08,3680836361960.205,54766.147112459745,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-09,3588009425205.081,55274.87005470894,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-10,3495182488449.956,55783.59299695814,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-11,3402355551694.832,56292.315939207336,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-12,3309528614939.708,56801.03888145653,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-13,3216701678184.584,57309.761823705725,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-14,3123874741429.459,57818.48476595492,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-15,3031047804674.335,58327.207708204114,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-16,2938220867919.211,58835.93065045331,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-17,2845393931164.088,59344.6535927025,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-18,2752566994408.963,59853.376534951705,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-19,2659740057653.839,60362.0994772009,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-20,2566913120898.715,60870.822419450094,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-21,2474086184143.591,61379.54536169928,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-22,2381259247388.466,61888.268303948484,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-23,2288432310633.342,62396.99124619768,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-24,2195605373878.2178,62905.71418844687,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-25,2102778437123.0938,63414.43713069606,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-26,2009951500367.9697,63923.16007294526,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-27,1917124563612.8457,64431.88301519446,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-28,1824297626857.7217,64940.60595744365,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-29,1731470690102.5977,65449.328899692846,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-30,1638643753347.4727,65958.05184194204,v1,NA,NA,FALSE
Altenrhein (SG),2021-01-31,1545816816592.3486,66466.77478419124,v1,NA,NA,FALSE
Altenrhein (SG),2021-02-01,1452989879837.2244,66975.49772644043,v1,undetermined,0.8293399366316289,FALSE
Altenrhein (SG),2021-02-02,1014496184415.1394,48937.09550476074,v1,undetermined,0.8193090170006686,FALSE
Altenrhein (SG),2021-02-03,13536928558255.018,80949.39479064941,v1,undetermined,0.8079073939754736,FALSE
Altenrhein (SG),2021-02-04,2945306175569.049,69712.29563903809,v1,undetermined,0.795064253764256,FALSE
Altenrhein (SG),2021-02-05,1880184030731.1785,36902.09294128418,v1,undetermined,0.7794904490105452,FALSE
Altenrhein (SG),2021-02-06,2093648609496.6406,52535.94445800781,v1,undetermined,0.760600514130999,FALSE
Altenrhein (SG),2021-02-07,2307113188262.103,68169.79597473145,v1,undetermined,0.7412010626743373,FALSE
Altenrhein (SG),2021-02-08,1428448827723.4958,48448.59773254395,v1,undetermined,0.7239441609934495,FALSE
Altenrhein (SG),2021-02-09,933016619306.8307,44644.89567565918,v1,undetermined,0.7092124055360067,FALSE
Altenrhein (SG),2021-02-10,1472228446633.5754,43286.99574279785,v1,undetermined,0.6944126377645586,FALSE
Altenrhein (SG),2021-02-11,510875599980.57465,30257.39515686035,v1,undetermined,0.6776343092026179,FALSE
Altenrhein (SG),2021-02-12,176105925161.31787,26300.59394836426,v1,undetermined,0.655514795219064,FALSE
Altenrhein (SG),2021-02-13,427323973426.3506,24209.09428405762,v1,undetermined,0.6250797441454929,FALSE
Altenrhein (SG),2021-02-14,950725070696.403,22274.19483947754,v1,undetermined,0.5904227928720074,FALSE
Altenrhein (SG),2021-02-15,610964120302.5382,24542.7931060791,v1,undetermined,0.5584530981897489,FALSE
Altenrhein (SG),2021-02-16,1494851129605.1887,34119.9917755127,v1,undetermined,0.532110357731458,FALSE
Altenrhein (SG),2021-02-17,1274370581672.7048,26967.39155578613,v1,undetermined,0.5111054515219051,FALSE
Altenrhein (SG),2021-02-18,1296371642012.576,20654.0916595459,v1,B.1.1.7 (Alpha),0.5023185711374792,FALSE
Altenrhein (SG),2021-02-19,1283010014395.5288,22924.49278259277,v1,B.1.1.7 (Alpha),0.5045217384882233,FALSE
Altenrhein (SG),2021-02-20,1159107055424.064,20814.742736816406,v1,undetermined,0.5055427261818131,FALSE
Altenrhein (SG),2021-02-21,1035204096452.599,18704.99269104004,v1,undetermined,0.522647019632989,FALSE
Altenrhein (SG),2021-02-22,371532936212.5635,19730.29216003418,v1,undetermined,0.5359028599812315,FALSE
Altenrhein (SG),2021-02-23,788113859916.0958,18742.84341430664,v1,undetermined,0.535773092324679,FALSE
Altenrhein (SG),2021-02-24,1204694783619.6282,17755.3946685791,v1,undetermined,0.5197574566042202,FALSE
Altenrhein (SG),2021-02-25,611578602687.1971,18440.7989654541,v1,B.1.1.7 (Alpha),0.5088593363458734,FALSE
